Tracking_ID,Status,Size_T1_Ref,Size_T2,Original_T2_ID,T2_ID
1,Disappeared,120,0,,N/A
2,Disappeared,346,0,,N/A
3,Disappeared,55,0,,N/A
4,Disappeared,36,0,,N/A
5,Disappeared,101,0,,N/A
6,Disappeared,51,0,,N/A
7,Disappeared,32,0,,N/A
8,Disappeared,46,0,,N/A
9,Disappeared,28,0,,N/A
10,Disappeared,74,0,,N/A
11,Disappeared,61,0,,N/A
12,Disappeared,37,0,,N/A
13,Disappeared,20,0,,N/A
14,Disappeared,151,0,,N/A
15,Disappeared,75,0,,N/A
16,Disappeared,90,0,,N/A
17,"Merged (from [np.int32(17), np.int32(32)])",N/A,16075,5.0,17
18,Disappeared,82,0,,N/A
19,Disappeared,27,0,,N/A
20,Stable,2162,2517,9.0,20
21,Stable,2258,2812,8.0,21
22,Disappeared,62,0,,N/A
23,Enlarged,1228,3186,11.0,23
24,Disappeared,44,0,,N/A
25,Disappeared,1226,0,,N/A
26,Disappeared,29,0,,N/A
27,Disappeared,3267,0,,N/A
28,Disappeared,94,0,,N/A
29,Disappeared,40,0,,N/A
30,Disappeared,133,0,,N/A
31,Disappeared,72,0,,N/A
33,New,N/A,22,1.0,33
34,New,N/A,75,2.0,34
35,New,N/A,34,3.0,35
36,New,N/A,24,4.0,36
37,New,N/A,25,6.0,37
38,New,N/A,28,7.0,38
39,New,N/A,71,10.0,39
40,New,N/A,3108,12.0,40
41,New,N/A,43,13.0,41
42,New,N/A,66,14.0,42
43,New,N/A,51,15.0,43
44,New,N/A,59,16.0,44
45,New,N/A,22,17.0,45
46,New,N/A,109,18.0,46
47,New,N/A,126,19.0,47
48,New,N/A,272,20.0,48
